SIGNIFICANT,SERIOUS,Year,Fatalities,Injuries,Explode,Ignite,CLASS,Dia,wall,SMYS,TOTAL_COST_IN84,TOTAL_COST_CURRENT,MAOP,SEAM,cause,subcause,coat,PIR,HCA,BA,CoF
YES,NO,2017,0,0,NO,NO,1,24,0.375,60000,190845.4206,376402.9752,497,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,ASPHALT,369,NO,After,376402.9752
NO,NO,2002,0,0,NO,YES,NA,0,0,0,40234.07529,55326.47893,500,0,ALL OTHER CAUSES,UNKNOWN,NA,0,NO,Before,55326.47893
YES,NO,2002,0,0,NO,NO,1,26,0.28,1124,124779.46,204181.4714,809,LONGITUDINAL WELD,ALL OTHER CAUSES,MISCELLANEOUS,NA,510.26608,NO,Before,204181.4714
YES,YES,2002,0,1,NO,NO,3,10,0.34,NA,24140.44517,33195.88736,975,SEAMLESS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,215.4524309,NO,Before,3243195.887
NO,NO,2002,0,0,NO,NO,1,6,0.28,35000,38693.5117,57386.92034,960,ERW,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,NA,128.2732084,NO,Before,57386.92034
YES,NO,2002,0,0,NO,NO,1,NA,NA,NA,193048.8231,182722.2348,1235,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,NA,NO,Before,182722.2348
YES,YES,2002,0,1,NO,NO,1,18,0.21,35000,26566.43646,45996.68005,500,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",NA,277.7196428,NO,Before,3255996.68
YES,NO,2002,0,0,NO,NO,1,26,0.28,52000,56327.7054,77457.0705,790,DSAW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,504.2384793,NO,Before,77457.0705
NO,NO,2002,0,0,NO,NO,3,8,0.25,42000,0,0,815,NA,CORROSION,INTERNAL,COATED,157.5860908,YES,Before,0
YES,NO,2002,0,0,YES,NO,1,NA,NA,NA,1301558.408,2624735.352,NA,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,2624735.352
YES,YES,2002,0,2,YES,NO,NA,NA,NA,NA,91.08752064,183.7603208,140,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,Before,6420183.76
YES,NO,2002,0,0,NO,NO,3,NA,NA,NA,66294.96561,129609.0189,364,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,NA,NO,Before,129609.0189
NO,NO,2002,0,0,NO,YES,1,NA,NA,NA,37410.94598,75472.98891,902,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,Before,75472.98891
YES,NO,2002,0,0,NO,NO,3,12,0.25,31,109098.6265,207691.8833,750,BUTT WELD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,226.7571388,YES,Before,207691.8833
YES,YES,2002,0,1,NO,NO,1,16,0.28,42000,51362.01751,62270.89188,650,ELECTRIC RESISTANCE WELD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,281.4658772,NO,Before,3272270.892
NO,NO,2002,0,0,NO,YES,1,26,0.28,NA,0,0,809,WELD,ALL OTHER CAUSES,MISCELLANEOUS,NA,510.26608,NO,Before,0
NO,NO,2002,0,0,NO,NO,1,20,0.38,1950,41837.8673,83489.07399,900,EFW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,414,NO,Before,83489.07399
NO,NO,2002,0,0,NO,NO,2,20,0.22,52000,46773.24177,50946.12555,614,FLASH WELD,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,341.9505227,NO,Before,50946.12555
YES,NO,2002,0,0,NO,NO,1,30,0.44,60000,110434.2765,212453.781,1008,DSAW,CORROSION,INTERNAL,COATED,657.2046257,NO,Before,212453.781
NO,NO,2002,0,0,NO,NO,3,6,0.2,NA,0,0,200,X-TRU COAT,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,58.54844148,NO,Before,0
NO,NO,2002,0,0,NO,NO,1,6,0.15,24000,11519.20814,19517.6617,475,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,90.22920813,NO,Before,19517.6617
YES,NO,2002,0,0,YES,NO,1,30,0.3,65000,1595153.186,2598854.963,936,ELECTRIC FUSION WELDED,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,633.2982236,YES,Before,2598854.963
YES,NO,2002,0,0,NO,NO,3,16,0.25,24000,111990.2679,224255.0497,300,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,191.2184092,YES,Before,224255.0497
YES,NO,2002,0,0,YES,NO,1,12,0.25,42000,73948.1497,85939.88291,810,ERW,CORROSION,INTERNAL,COATED,235.6529312,NO,Before,85939.88291
YES,NO,2002,0,0,NO,NO,1,24,0.63,65000,78161.3041,157589.8901,1300,DSAW,ALL OTHER CAUSES,MISCELLANEOUS,NA,597.0792912,NO,Before,157589.8901
YES,NO,2002,0,0,NO,NO,1,30,0.34,52000,111729.5879,136507.565,858,EW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,606.3368866,NO,Before,136507.565
YES,NO,2002,0,0,NO,NO,1,NA,NA,NA,83942.64739,101640.442,960,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,NA,NO,Before,101640.442
NO,NO,2002,0,0,NO,NO,3,NA,NA,NA,22513.8823,29914.45306,500,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,NA,NO,Before,29914.45306
YES,NO,2002,0,0,NO,NO,3,30,0.34,52000,83004.82116,150915.4339,596,ERW,CORROSION,EXTERNAL,COATED,505.3514025,YES,Before,150915.4339
YES,NO,2002,0,0,NO,NO,1,30,0.34,60000,147190.8207,152848.8919,975,DSA,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,NA,646.3572928,NO,Before,152848.8919
YES,NO,2002,0,0,NO,NO,1,20,0.34,52000,76751.07282,144989.0491,1000,ERW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,436.3943171,YES,Before,144989.0491
YES,NO,2002,0,0,NO,NO,1,20,0.63,52000,210560.2651,390673.7925,1600,DSAW,CORROSION,INTERNAL,COATED,552,NO,Before,390673.7925
YES,NO,2002,0,0,NO,NO,1,10,0.25,42000,97271.02126,162175.3122,800,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,195.1614716,NO,Before,162175.3122
NO,NO,2002,0,0,NO,NO,2,12,0.25,3500,19928.58157,25732.53332,740,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,225.2403516,NO,Before,25732.53332
NO,NO,2002,0,0,NO,NO,1,NA,NA,NA,45697.81668,91674.11627,730,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,NA,NO,Before,91674.11627
YES,NO,2002,0,0,NO,NO,1,30,0.3,60000,99470.90929,117978.9152,858,SUBMERGED ARC WELD,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,COATED,606.3368866,NO,Before,117978.9152
YES,NO,2002,0,0,NO,NO,1,10.75,0.19,42000,130184.9207,148931.1994,880,ERW,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,NA,220.0386091,NO,Before,148931.1994
YES,NO,2002,0,0,NO,NO,1,26,0.25,41000,164017.4283,217185.0329,400,FLASH WELD,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,NA,358.8,NO,Before,217185.0329
YES,NO,2002,0,0,NO,NO,3,4,0.16,35000,105093.9493,167760.1033,642,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,69.93210422,YES,Before,167760.1033
YES,NO,2002,0,0,NO,NO,1,12,NA,NA,84917.84275,93787.88217,850,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,241.4014084,NO,Before,93787.88217
YES,NO,2002,0,0,NO,NO,1,30,0.36,60000,665510.1587,975814.2121,1037,DSAW,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,666.5914266,NO,Before,975814.2121
NO,NO,2002,0,0,NO,NO,1,4,0.19,24000,0,0,355,NA,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,NA,52.00238456,NO,Before,0
NO,NO,2002,0,0,NO,NO,2,4.5,0.15,35000,33010.6263,66078.92873,800,SMLS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,87.82266222,NO,Before,66078.92873
YES,NO,2002,0,0,NO,NO,3,16,0.25,30000,143102.6643,134574.7712,375,LAP WELD,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,213.7886807,NO,Before,134574.7712
NO,NO,2002,0,0,NO,NO,1,10,0.32,NA,44788.45132,64514.49497,500,MACHINE ELEC FUSION ARC WELD,CORROSION,EXTERNAL,BARE,154.2886904,NO,Before,64514.49497
NO,NO,2002,0,0,YES,NO,2,2.5,0.2,135000,27942.48163,54303.91968,2160,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,80.17075527,NO,Before,54303.91968
YES,NO,2002,0,0,YES,NO,1,36,0.42,60000,471459.2245,604294.349,844,FLASH WELDING,CORROSION,EXTERNAL,COATED,721.6436838,NO,Before,604294.349
YES,NO,2002,0,0,NO,NO,1,16,0.25,30000,87155.80457,168282.626,430,ERW,ALL OTHER CAUSES,UNKNOWN,NA,228.9303125,NO,Before,168282.626
YES,NO,2002,0,0,NO,NO,1,30,0.38,52000,93890.48067,123259.754,936,ERW,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,633.2982236,NO,Before,123259.754
NO,NO,2002,0,0,NO,NO,1,12,0.31,24000,32531.908,65629.99858,415,ERW,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,168.676424,NO,Before,65629.99858
YES,NO,2003,0,0,NO,NO,1,2,0.34,35000,52766.31054,72963.39031,936,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",NA,42.21988157,NO,Before,72963.39031
NO,NO,2002,0,0,NO,NO,3,8,0.22,24000,44783.35303,87658.55395,525,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,126.4790892,NO,Before,87658.55395
YES,NO,2003,0,0,NO,NO,1,14,0.41,46000,263669.9074,531928.7037,1000,ERW,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,305.476022,YES,Before,531928.7037
YES,NO,2003,0,0,NO,NO,3,12,0.22,24000,198587.2507,399902.7066,196,UKNOWN,ALL OTHER CAUSES,MISCELLANEOUS,NA,115.92,YES,Before,399902.7066
YES,NO,2003,0,0,NO,NO,1,36,0.63,60000,70902.06553,142310.114,1000,DSAW,CORROSION,INTERNAL,COATED,785.5097708,NO,Before,142310.114
YES,NO,2003,0,0,YES,NO,1,NA,NA,NA,842019.9537,1698694.352,800,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,Before,1698694.352
YES,NO,2003,0,0,NO,YES,1,24,0.31,52000,647900.1068,639508.7607,975,DSAW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,517.0858343,NO,Before,639508.7607
NO,NO,2003,0,0,NO,NO,1,22,0.25,35000,36873.87821,52185.7906,500,FUSION WELD,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,339.435119,NO,Before,52185.7906
YES,NO,2003,0,0,NO,NO,3,6,0.22,NA,111386.4672,217504.3875,1080,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,136.0542833,NO,Before,217504.3875
NO,NO,2003,0,0,YES,NO,1,12,0.19,66000,48567.87749,71773.36182,800,ERW,CORROSION,EXTERNAL,COATED,234.1937659,NO,Before,71773.36182
YES,NO,2003,0,0,NO,YES,1,16,0.22,52000,927374.0783,1411364.365,832,ERW,CORROSION,EXTERNAL,COATED,318.4422886,NO,Before,1411364.365
YES,NO,2003,0,0,NO,NO,1,24,500,37000,2083183.796,4202623.148,800,SEAMLESS,CORROSION,EXTERNAL,COATED,468.3875319,NO,Before,4202623.148
YES,NO,2003,0,0,NO,NO,1,8,0.38,35000,303721.4322,603445.4695,150,ERW,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,67.6059169,NO,Before,603445.4695
YES,NO,2003,0,0,NO,NO,1,30,0.28,70000,86916.48148,90170.74074,944,SPIRAL WELD SEAM,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,635.9988679,NO,Before,90170.74074
YES,NO,2003,0,0,NO,NO,1,30,0.32,52000,82830.24252,84839.10897,809,DSAW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,588.7685538,NO,Before,84839.10897
YES,YES,2003,0,1,NO,YES,3,12,0.28,30000,24236.32813,41432.55883,500,LAP WELD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,185.1464285,NO,Before,3251432.559
NO,NO,2003,0,0,NO,YES,1,12,0.31,NA,40828.90313,67808.5755,680,ERW,CORROSION,EXTERNAL,BARE,215.9159837,NO,Before,67808.5755
NO,NO,2002,0,0,NO,YES,1,2.84,0.16,NA,0,0,989,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,61.62622661,NO,Before,0
YES,NO,2003,0,0,NO,NO,1,22,0.28,52000,65736.40278,94761.36111,975,DSA,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,473.9953481,NO,Before,94761.36111
NO,NO,2003,0,0,NO,NO,1,NA,NA,0,48040.10256,45121.21026,1050,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,Before,45121.21026
NO,NO,2003,0,0,NO,YES,1,8,NA,NA,47730.77742,65652.58561,600,NA,NATURAL FORCE DAMAGE,LIGHTNING,NA,135.2118338,NO,Before,65652.58561
YES,NO,2003,0,0,NO,NO,1,26,0.25,52000,255444.5769,246118.841,720,ERW,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,COATED,481.3807142,NO,Before,246118.841
YES,NO,2004,0,0,YES,NO,2,NA,NA,NA,93538.3862,188608.6447,3250,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,188608.6447
YES,NO,2004,0,0,NO,NO,1,30,0.31,1456,64858.84717,76702.78767,850,GIRTH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,603.5035211,NO,After,76702.78767
YES,YES,2003,0,1,NO,NO,NA,NA,NA,0,0,0,1050,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,3210000
YES,NO,2003,0,0,NO,NO,2,36,0.4,65000,117487.1795,110348.7179,858,DSAW,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,727.6042639,NO,Before,110348.7179
YES,NO,2003,0,0,NO,YES,1,24,0.25,60000,555537.7493,865947.2934,850,ERW HIGH FREQ.,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,NA,482.8028169,NO,Before,865947.2934
NO,NO,2003,0,0,NO,NO,3,16,0.25,52000,36420.89915,54626.52991,720,UNKNOWN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,296.2342857,NO,Before,54626.52991
NO,NO,2003,0,0,NO,NO,2,6,0.22,2314,29336.16453,47171.04701,1000,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,130.9182951,NO,Before,47171.04701
YES,NO,2003,0,0,NO,YES,1,NA,NA,NA,78526.38889,158419.4444,1200,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,Before,158419.4444
YES,NO,2002,0,0,NO,NO,1,18,0.28,33000,79473.90031,110107.7378,470,ELECTRIC FLASH WELD,CORROSION,EXTERNAL,COATED,269.2591837,NO,Before,110107.7378
YES,NO,2003,0,0,NO,NO,3,0.75,NA,NA,1597168.447,3200294.16,60,NA,CORROSION,EXTERNAL,BARE,4.008537763,YES,Before,3200294.16
YES,NO,2003,0,0,NO,YES,1,1,NA,NA,95763.88889,193194.4444,1000,NA,ALL OTHER CAUSES,UNKNOWN,NA,21.81971586,NO,Before,193194.4444
YES,NO,2003,0,0,NO,NO,1,36,0.42,60000,93833.54808,107605.0534,844,EFW,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,721.6436838,NO,Before,107605.0534
YES,YES,2003,0,1,YES,NO,1,1,NA,NA,996126.0684,1968093.162,1000,NA,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",NA,21.81971586,NO,Before,5178093.162
NO,NO,2003,0,0,NO,NO,1,NA,NA,NA,37023.02788,58568.31987,720,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,Before,58568.31987
YES,NO,2003,0,0,NO,NO,1,16,0.25,33000,145397.7462,289686.0291,430,EFW,ALL OTHER CAUSES,UNKNOWN,NA,228.9303125,NO,Before,289686.0291
YES,NO,2003,0,0,NO,NO,1,20,0.28,52000,61579.71866,61623.96724,1045,UNKNOWN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,446.1051446,NO,Before,61623.96724
YES,NO,2003,0,0,NO,NO,1,12,0.22,52000,72112.95976,108156.8853,1025,DSA,ALL OTHER CAUSES,MISCELLANEOUS,NA,265.0893434,NO,Before,108156.8853
YES,NO,2003,0,0,NO,NO,1,26,0.28,52000,66179.77208,106211.6809,674,SAW,CORROSION,EXTERNAL,COATED,465.7494889,NO,Before,106211.6809
YES,NO,2003,0,0,YES,NO,2,10,0.5,35000,197199.5726,391716.0684,3100,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,384.175741,NO,Before,391716.0684
NO,NO,2003,0,0,NO,NO,3,NA,NA,NA,43245.59651,40652.43234,850,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,NA,NO,Before,40652.43234
YES,NO,2003,0,0,NO,NO,1,20,0.31,50000,176863.7318,248118.0329,938,SEAMLESS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,422.6496421,NO,Before,248118.0329
YES,NO,2003,0,0,NO,NO,1,20,0.28,1686,83986.32479,111923.0769,1050,NA,CORROSION,INTERNAL,COATED,447.1711082,NO,Before,111923.0769
YES,NO,2003,0,0,NO,NO,1,20,0.5,46000,50189.90349,100052.1232,925,ERW,CORROSION,INTERNAL,COATED,419.7106146,NO,Before,100052.1232
NO,NO,2003,0,0,NO,NO,1,24,0.25,52000,49968.12678,84790.09972,650,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,422.1988157,NO,Before,84790.09972
YES,NO,2003,0,0,NO,YES,1,24,0.28,60000,207482.0613,402833.0524,1000,DSAW,NATURAL FORCE DAMAGE,LIGHTNING,NA,523.6731805,NO,Before,402833.0524
YES,NO,2003,0,0,NO,NO,1,26,0.28,52000,116241.208,219310.8467,809,DSAW,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,510.26608,NO,Before,219310.8467
YES,NO,2003,0,0,YES,NO,1,30,0.31,65000,3665913.914,7332293.896,811,ERW,CORROSION,INTERNAL,COATED,589.4958778,NO,Before,7332293.896
YES,NO,2003,0,0,NO,YES,1,NA,NA,NA,479306.0897,894154.9145,811,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,Before,894154.9145
NO,NO,2003,0,0,NO,NO,1,NA,NA,NA,36559.79345,35026.76638,845,NA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,NA,NO,Before,35026.76638
YES,NO,2003,0,0,NO,YES,1,30,0.56,60000,4685855.769,8345261.966,1000,NA,CORROSION,INTERNAL,COATED,654.5914757,NO,Before,8345261.966
YES,NO,2003,0,0,NO,YES,1,NA,NA,NA,143028.8462,237587.6068,943,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,NA,NO,Before,237587.6068
YES,NO,2003,0,0,NO,NO,1,3,0.16,35000,151179.8088,304941.9628,800,ERW,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,58.54844148,NO,Before,304941.9628
YES,NO,2003,0,0,NO,NO,1,NA,NA,NA,59891.45299,56252.47863,NA,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,56252.47863
YES,NO,2003,0,0,NO,YES,3,24,0.28,42000,441212.2987,864545.8504,300,WELDED LONGITUDINAL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,286.8276137,NO,Before,864545.8504
NO,NO,2003,0,0,NO,NO,3,NA,NA,NA,36499.02066,44950.43447,795,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,NA,NO,Before,44950.43447
YES,NO,2003,0,0,NO,NO,1,NA,NA,NA,95820.92308,89998.89231,960,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,Before,89998.89231
YES,NO,2003,0,0,NO,NO,1,16,0.31,24000,65039.12393,112711.9402,200,ELCWELD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,156.1291773,NO,Before,112711.9402
YES,YES,2003,1,1,NO,YES,1,8,0.25,35000,314005.9117,610181.0541,400,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,110.4,NO,Before,13820181.05
YES,NO,2003,0,0,NO,NO,1,NA,NA,NA,127685.1852,257592.5926,3000,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,257592.5926
YES,YES,2003,0,1,NO,YES,2,NA,NA,NA,0,0,936,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,3210000
YES,NO,2003,0,0,NO,YES,1,NA,NA,NA,1555960.043,1523370.171,1120,NA,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,NA,NA,NO,Before,1523370.171
YES,NO,2003,0,0,NO,NO,3,8,0.25,52000,238185.9667,474236.1984,1133,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,185.8035608,NO,Before,474236.1984
YES,NO,2003,0,0,YES,NO,1,16,0.38,1625,2251581.197,2940769.231,997,SEAMLESS,ALL OTHER CAUSES,UNKNOWN,NA,348.5913872,NO,Before,2940769.231
NO,NO,2003,0,0,NO,NO,1,6,0.31,NA,0,0,2200,SEAMLESS,CORROSION,EXTERNAL,BARE,194.1832125,NO,Before,0
YES,NO,2003,0,0,NO,NO,1,36,0.38,65000,169748.1339,230194.3875,974,DSAW,ALL OTHER CAUSES,MISCELLANEOUS,NA,775.230891,NO,Before,230194.3875
YES,YES,2003,0,1,NO,NO,2,NA,NA,NA,19307.28632,35893.03419,1032,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,NA,NO,Before,3245893.034
YES,NO,2003,0,0,NO,NO,1,NA,NA,NA,87195.06838,81897.14017,960,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,81897.14017
YES,NO,2003,0,0,NO,NO,2,24,0.38,37000,359117.2009,566510.4701,800,SEAMLESS,CORROSION,EXTERNAL,COATED,468.3875319,NO,Before,566510.4701
YES,NO,2003,0,0,NO,NO,1,22,0.25,NA,69548.8604,95609.51567,850,DSAW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,442.5692488,NO,Before,95609.51567
YES,NO,2003,0,0,NO,NO,1,22,0.25,NA,55787.53561,95074.21652,850,DSAW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,442.5692488,NO,Before,95074.21652
NO,NO,2003,0,0,NO,NO,3,8,0.19,35000,34918.58298,43335.24117,763,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,152.4759496,YES,Before,43335.24117
YES,NO,2003,0,0,YES,NO,1,30,0.38,52000,2138499.359,3705980.769,1000,EFW,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,654.5914757,NO,Before,3705980.769
NO,NO,2003,0,0,NO,NO,1,6,0.25,24000,448.7375356,868.8853276,714,SMLS,CORROSION,EXTERNAL,COATED,110.6240227,NO,Before,868.8853276
YES,NO,2003,0,0,NO,YES,1,NA,NA,NA,55202.47098,111220.083,NA,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,Before,111220.083
YES,YES,2003,0,1,NO,NO,1,NA,NA,NA,0,0,1200,NA,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,NA,NA,NO,Before,3210000
NO,NO,2003,0,0,NO,NO,1,30,0.31,NA,41010.56695,45402.0604,850,GIRTH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,603.5035211,NO,Before,45402.0604
YES,YES,2003,0,1,NO,NO,1,NA,NA,NA,17574.10897,25798.7359,856,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,NA,NO,Before,3235798.736
YES,NO,2003,0,0,YES,NO,1,NA,NA,NA,405529.2201,815568.2692,1000,N/A,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",NA,NA,NO,Before,815568.2692
NO,NO,2003,0,0,NO,NO,3,4,0.19,NA,49293.62504,50423.71588,420,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,56.56316823,NO,Before,50423.71588
NO,NO,2003,0,0,NO,NO,1,8,0.28,NA,472.6495726,443.9316239,930,LAP WELD,CORROSION,EXTERNAL,COATED,168.3373755,NO,Before,443.9316239
YES,NO,2003,0,0,YES,NO,1,26,0.28,1124,79554.13105,102253.5613,647,DSA LONG SEAM,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,456.3253326,NO,Before,102253.5613
YES,NO,2003,0,0,NO,NO,1,20,0.28,NA,249526.3533,303198.0057,400,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,276,NO,Before,303198.0057
YES,NO,2003,0,0,NO,NO,3,12,0.25,NA,51552.31481,94537.96296,275,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,137.3082663,YES,Before,94537.96296
NO,NO,2003,0,0,NO,NO,1,6,0.16,42000,29577.7068,56030.22813,983,ERW,ALL OTHER CAUSES,MISCELLANEOUS,NA,129.8007196,NO,Before,56030.22813
YES,NO,2004,0,0,NO,NO,1,NA,NA,NA,52664.49385,99841.4276,1000,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,After,99841.4276
NO,NO,2004,0,0,NO,NO,1,12,0.31,42000,21864.23247,44044.94692,780,HF-ERW,CORROSION,EXTERNAL,COATED,231.2478151,NO,After,44044.94692
NO,NO,2004,0,0,NO,NO,2,2,0.25,NA,37849.61703,64616.63637,1000,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,43.63943171,NO,After,64616.63637
